unitid,institution name,year,EF2013D.Student-to-faculty ratio,"DRVIC2013.Tuition and fees, 2013-14",HD2013.Institution size category,HD2013.FIPS state code,HD2013.Geographic region,HD2013.Level of institution,HD2013.Control of institution,HD2013.Degree-granting status,HD2013.Historically Black College or University,HD2013.Tribal college,HD2013.Degree of urbanization (Urban-centric locale),HD2013.Institutional category,HD2013.Carnegie Classification 2010: Basic,HD2013.Carnegie Classification 2010: Undergraduate Instructional Program,HD2013.Carnegie Classification 2010: Graduate Instructional Program,HD2013.Carnegie Classification 2010: Undergraduate Profile,HD2013.Carnegie Classification 2010: Enrollment Profile,HD2013.Carnegie Classification 2010: Size and Setting,HD2013.Land Grant Institution,HD2013.Carnegie Classification 2000,HD2013.Data Feedback Report comparison group category created by NCES
132657,Lynn University,2013,17,33600,"1,000 - 4,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Doctoral/Research Universities,"Professions plus arts & sciences, some graduate coexistence","Doctoral, professional dominant","Full-time four-year, inclusive",High undergraduate,"Small four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Doctoral/Research Universities, private not-for-profit and enrollment of a similar size"
132693,Eastern Florida State College,2013,20,2496,"10,000 - 19,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Associate's--Public Rural-serving Large,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Very large two-year,Not a Land Grant Institution,Associates Colleges,Public 4-year Primarily Associates /1 of 2
132709,Broward College,2013,24,2542,"20,000 and above",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,Not a Land Grant Institution,Associates Colleges,Public 4-year Primarily Associates /1 of 2
132806,Fortis College-Winter Park,2013,33,21686,"Under 1,000",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, associate's and certificates",Associate's--Private For-profit,Associates,Not applicable,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,Not a Land Grant Institution,{Item not available},"Private, for-profit, 2-year degree granting, southeastern region /4 of 6"
132842,Carlos Albizu University-Miami,2013,15,12048,"Under 1,000",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (medium programs),"Arts & sciences plus professions, high graduate coexistence",Single doctoral (other field),Higher part-time four-year,Majority graduate/professional,"Very small four-year, primarily nonresidential",Not a Land Grant Institution,Other specialized institutions,"Masters Colleges and Universities (medium programs), private not-for-profit /3 of 3"
132851,College of Central Florida,2013,26,2522,"5,000 - 9,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, not primarily baccalaureate or above",Associate's--Public Rural-serving Large,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Large two-year,Not a Land Grant Institution,Associates Colleges,Public 4-year Primarily Associates /1 of 2
132879,Johnson University Florida,2013,14,12470,"Under 1,000",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above","Theological seminaries, Bible colleges, and other faith-related institutions","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Exclusively undergraduate four-year,"Not applicable, special focus institution",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Theological seminaries/Bible colleges/other faith-related institutions, highest level - bachelor's degree, undergraduate degrees/certificates offered /1 of 2"
132903,University of Central Florida,2013,31,6317,"20,000 and above",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Research Universities (very high research activity),"Professions plus arts & sciences, high graduate coexistence",Comprehensive doctoral (no medical/veterinary),"Medium full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Research Universities (very high research activity), public /1 of 2"
133021,Chipola College,2013,20,3120,"1,000 - 4,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,Town: Distant,"Degree-granting, not primarily baccalaureate or above",Associate's--Public 4-year Primarily Associate's,Associates Dominant,Not applicable,Higher part-time four-year,Exclusively undergraduate four-year,"Small four-year, primarily nonresidential",Not a Land Grant Institution,Associates Colleges,Public 4-year Primarily Associates /2 of 2
133085,Clearwater Christian College,2013,15,17125,"Under 1,000",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Balanced arts & sciences/professions, no graduate coexistence",Not applicable,"Full-time four-year, selective, higher transfer-in",Very high undergraduate,"Very small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--General,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /7 of 7"
133386,Daytona State College,2013,21,3321,"10,000 - 19,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, not primarily baccalaureate or above",Associate's--Public 4-year Primarily Associate's,Associates Dominant,Not applicable,Higher part-time four-year,Exclusively undergraduate four-year,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Associates Colleges,Public 4-year Primarily Associates /1 of 2
133465,South University-West Palm Beach,2013,17,16360,"1,000 - 4,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions focus, some graduate coexistence",Postbaccalaureate professional (other dominant fields),"Medium full-time four-year, inclusive",Very high undergraduate,"Very small four-year, primarily nonresidential",Not a Land Grant Institution,{Item not available},"Baccalaureate Colleges--Arts & Sciences or Diverse Fields, private for-profit /1 of 2"
133492,Eckerd College,2013,12,37362,"1,000 - 4,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Arts & sciences plus professions, no graduate coexistence",Not applicable,"Full-time four-year, more selective, lower transfer-in",Exclusively undergraduate four-year,"Small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /2 of 7"
133508,Edison State College,2013,25,3281,"10,000 - 19,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Associate's--Public 4-year Primarily Associate's,Associates Dominant,Not applicable,Higher part-time four-year,Exclusively undergraduate four-year,"Medium four-year, primarily nonresidential",Not a Land Grant Institution,Associates Colleges,Public 4-year Primarily Associates /1 of 2
133526,Edward Waters College,2013,15,11525,"Under 1,000",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,Yes,No,City: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions plus arts & sciences, no graduate coexistence",Not applicable,"Full-time four-year, inclusive",Exclusively undergraduate four-year,"Very small four-year, primarily residential",Not a Land Grant Institution,Baccalaureate Colleges--General,"Baccalaureate Colleges--Diverse Fields, private not-for-profit /6 of 8"
133553,Embry-Riddle Aeronautical University-Daytona Beach,2013,13,31334,"5,000 - 9,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (medium programs),"Professions focus, some graduate coexistence",Postbaccalaureate with arts & sciences (other dominant fields),"Full-time four-year, selective, higher transfer-in",Very high undergraduate,"Medium four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (medium programs), private not-for-profit /1 of 3"
133650,Florida Agricultural and Mechanical University,2013,17,5785,"10,000 - 19,999",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,Yes,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Doctoral/Research Universities,"Professions plus arts & sciences, some graduate coexistence","Doctoral, professional dominant","Full-time four-year, inclusive",High undergraduate,"Large four-year, highly residential",Land Grant Institution,Masters Colleges and Universities I,"Doctoral/Research Universities, public"
133669,Florida Atlantic University,2013,24,4790,"20,000 and above",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Research Universities (high research activity),"Professions plus arts & sciences, high graduate coexistence","Doctoral, professional dominant","Medium full-time four-year, inclusive",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Doctoral/Research Universities--Intensive,"Research Universities (high research activity), public/1of 2"
133702,Florida State College at Jacksonville,2013,24,2830,"20,000 and above",Florida,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, not primarily baccalaureate or above",Associate's--Public 4-year Primarily Associate's,Associates Dominant,Not applicable,Higher part-time four-year,Exclusively undergraduate four-year,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Associates Colleges,Public 4-year Primarily Associates /1 of 2
